fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
33af5b9e,Junior Hoilett,David Junior Hoilett,95.0,82.0,,,
08452314,Alireza Jahanbakhsh,Alireza Jahanbakhsh,100.0,85.0,,,
b561db50,Raúl Jiménez,Raúl Jiménez,100.0,607.0,,,
a48da055,Stefan Johansen,Stefan Johansen,100.0,11.0,,,
9319781b,Ben Johnson,Ben Johnson,100.0,127.0,,,
4701e130,Tyreke Johnson,Tyreke Johnson,100.0,1.0,,,
45db685d,Jorginho,Jorge Luiz Frello Filho,100.0,530.0,,,
178ae8f8,Diogo Jota,Diogo Teixeira da Silva,100.0,695.0,,,
4047c976,Aboubakar Kamara,Aboubakar Kamara,100.0,36.0,,,
18b999f4,Neeskens Kebano,Neeskens Kebano,100.0,53.0,,,
f25c8e3a,Naby Keïta,Naby Keita,90.0,209.0,,,
d0f72bf1,Max Kilman,Max Kilman,100.0,359.0,,,
79c0821a,Mateo Kovačić,Mateo Kovačić,100.0,368.0,,,
321a71a7,Maxime Le Marchand,Maxime Le Marchand,100.0,39.0,,,
2628fd2b,Bernd Leno,Bernd Leno,100.0,633.0,,,
9b5ce51a,Jefferson Lerma,Jefferson Lerma Solís,95.0,304.0,,,
99b1d0e6,Stephan Lichtsteiner,Stephan Lichtsteiner,100.0,14.0,,,
a2b105e0,Sean Longstaff,Sean Longstaff,100.0,349.0,,,
ee38d9c5,James Maddison,James Maddison,100.0,816.0,,,
e3e6502a,Gary Madine,Gary Madine,100.0,5.0,,,
de0f152c,Adam Masina,Adam Masina,100.0,117.0,,,
aa1a8c7e,Isaac Mbenza,Isaac Mbenza,100.0,38.0,,,
71a08f97,Kevin McDonald,Kevin McDonald,100.0,17.0,,,
fc15fb84,Dwight McNeil,Dwight McNeil,100.0,638.0,,,
b4b2f632,Nathaniel Mendez-Laing,Nathaniel Mendez-Laing,100.0,63.0,,,
fed96827,Chris Mepham,Chris Mepham,100.0,113.0,,,
eba42d2b,Max Meyer,Max Meyer,100.0,83.0,,,
6d5701f2,Yerry Mina,Yerry Mina,100.0,250.0,,,
5cec2487,Martín Montoya,Martín Montoya,100.0,107.0,,,
09fec029,Sean Morrison,Sean Morrison,100.0,97.0,,,
f5a00fa4,João Moutinho,João Filipe Iria Santos Moutinho,86.0,457.0,1.0,,
b30c7426,Josh Murphy,Josh Murphy,100.0,76.0,,,
5343eb4e,Yoshinori Mutō,Yoshinori Muto,93.0,33.0,,,
c2846353,Marc Navarro,Marc Navarro,100.0,2.0,,,
44bfb6c5,Rúben Neves,Rúben da Silva Neves,100.0,518.0,,,
c73ada83,Will Norris,Will Norris,100.0,4.0,,,
f7750aa0,Denis Odoi,Denis Odoi,100.0,45.0,,,
b682dcf6,Sokratis Papastathopoulos,Sokratis Papastathopoulos,100.0,121.0,,,
d2583bce,Callum Paterson,Callum Paterson,100.0,80.0,,,
79b0d6a0,Rui Patrício,Rui Pedro dos Santos Patrício,100.0,403.0,,,
af341b88,Lee Peltier,Lee Peltier,100.0,45.0,,,
6639e500,Andreas Pereira,Andreas Hoelgebaum Pereira,86.0,335.0,1.0,,
75a72a99,Ricardo Pereira,Ricardo Barbosa Pereira,100.0,351.0,,,
41fb0f4e,Domingos Quina,Domingos Quina,100.0,21.0,,,
3730fcbc,Joe Ralls,Joe Ralls,100.0,45.0,,,
dc31b84c,Kayne Ramsey,Kayne Ramsay,92.0,-2.0,,,
28b40c9c,Tim Ream,Tim Ream,100.0,197.0,,,
0f7533cd,Bobby Reid,Bobby De Cordova-Reid,100.0,348.0,,,
afef14da,Jazz Richards,Ashley Darel Jazz Richards,90.0,2.0,,,
d9ba39fc,Diego Rico,Diego Rico,100.0,92.0,,,
5f0241b2,Sergio Rico,Sergio Rico,100.0,86.0,,,
4b6bcb0d,Aaron Rowe,Aaron Rowe,100.0,2.0,,,
da8b19e2,John Ruddy,John Ruddy,100.0,14.0,,,
9fbbcf39,Romain Saïss,Romain Saïss,100.0,358.0,,,
bc7dc64d,Bukayo Saka,Bukayo Saka,100.0,791.0,,,
50b51fac,Carlos Sánchez,Carlos Sánchez,100.0,16.0,,,
c8aa95da,Fabian Schär,Fabian Schär,100.0,527.0,,,
ecbb3fdf,André Schürrle,André Schürrle,100.0,75.0,,,
1770bd68,Ken Sema,Ken Sema,100.0,63.0,,,
10efd0e1,Jean Seri,Jean Michael Seri,86.0,72.0,1.0,,
6aa3e78b,Ryan Sessegnon,Ryan Sessegnon,100.0,194.0,,,
15d561fa,Xande Silva,Alexandre Nascimento Costa Silva,100.0,1.0,,,
6250083a,Oliver Skipp,Oliver Skipp,100.0,115.0,,,
059948df,Callum Slattery,Callum Slattery,100.0,4.0,,,
21166ff4,Çağlar Söyüncü,Çaglar Söyüncü,93.0,270.0,,,
12c50af5,Denis Suárez,Denis Suárez,100.0,4.0,,,
b017b770,Sam Surridge,Sam Surridge,100.0,32.0,,,
56f7a928,Youri Tielemans,Youri Tielemans,100.0,588.0,,,
52611641,Lucas Torreira,Lucas Torreira,100.0,124.0,,,
fe558029,Mark Travers,Mark Travers,100.0,56.0,,,
